WINDCODE,INDATE,OUTDATE
600267.SH,20150615,20191213
000040.SZ,20070115,20101231
600725.SH,20070115,20130628
000501.SZ,20070115,20600101
002653.SZ,20151214,20160608
000519.SZ,20141215,20600101
601777.SH,20110701,20191213
002244.SZ,20090105,20090630
601008.SH,20100104,20100630
002690.SZ,20161212,20600101
002230.SZ,20090827,20131213
600482.SH,20070115,20161209
002219.SZ,20130104,20160608
600509.SH,20070115,20161209
000726.SZ,20070115,20171208
600337.SH,20080701,20160608
600236.SH,20110104,20140613
002450.SZ,20120702,20130628
600533.SH,20080701,20140613
000628.SZ,20070115,20071228
000996.SZ,20090701,20120629
002204.SZ,20090701,20100630
000888.SZ,20070115,20090630
600260.SH,20070115,20110630
600680.SH,20070115,20071228
000025.SZ,20161212,20201211
000420.SZ,20070115,20090630
600724.SH,20110104,20110630
002161.SZ,20090701,20170609
002025.SZ,20100104,20170609
600365.SH,20070115,20071228
000960.SZ,20161212,20600101
000656.SZ,20120702,20121231
601126.SH,20110701,20161209
600156.SH,20070115,20091231
000977.SZ,20070115,20080630
000662.SZ,20070115,20090630
600020.SH,20100701,20110630
300134.SZ,20141215,20600101
002405.SZ,20130701,20180608
600426.SH,20110104,20600101
000539.SZ,20120104,20121231
600609.SH,20090105,20100630
600278.SH,20070115,20120629
600991.SH,20080102,20120319
600312.SH,20120702,20600101
600855.SH,20070115,20101231
000656.SZ,20141215,20190614
002233.SZ,20090701,20600101
000782.SZ,20070115,20090630
002266.SZ,20090701,20110630
000950.SZ,20090105,20120629
001872.SZ,20090105,20100630
600761.SH,20090701,20161209
600529.SH,20070115,20120629
002105.SZ,20070702,20080630
600395.SH,20150615,20181214
002428.SZ,20110218,20181214
002081.SZ,20070702,20071228
600626.SH,20070115,20110630
600172.SH,20070115,20081231
000759.SZ,20070115,20141212
000099.SZ,20070702,20180608
002029.SZ,20070115,20070629
000655.SZ,20080102,20081231
000659.SZ,20070115,20131213
002317.SZ,20100701,20110630
000078.SZ,20070115,20600101
300085.SZ,20151214,20160608
002083.SZ,20080102,20150612
002544.SZ,20161212,20600101
002624.SZ,20160613,20161209
600567.SH,20070115,20091231
600098.SH,20141215,20150612
600186.SH,20070702,20100630
600970.SH,20140616,20600101
002221.SZ,20131216,20600101
000008.SZ,20160613,20161209
000693.SZ,20140616,20160608
600303.SH,20070115,20090630
000916.SZ,20080102,20101231
600820.SH,20110104,20150612
600459.SH,20070115,20101231
002375.SZ,20160613,20600101
600356.SH,20070115,20081231
000939.SZ,20070702,20180608
600481.SH,20070115,20100630
002534.SZ,20110701,20141212
600551.SH,20100104,20110630
002426.SZ,20160613,20161209
002045.SZ,20070115,20081231
600282.SH,20151214,20600101
300043.SZ,20150615,20181214
002140.SZ,20110701,20160608
600831.SH,20070115,20171208
000780.SZ,20131216,20151211
601965.SH,20131216,20161209
000685.SZ,20090105,20090630
002431.SZ,20140616,20191213
600565.SH,20070115,20111230
600203.SH,20070115,20071228
002203.SZ,20130104,20160608
600830.SH,20070115,20150612
600726.SH,20070115,20101231
002004.SZ,20070115,20071228
600755.SH,20100104,20600101
000735.SZ,20090105,20151211
000514.SZ,20080102,20121231
600500.SH,20130104,20141212
601999.SH,20080701,20151211
002249.SZ,20090701,20600101
600580.SH,20070115,20600101
000931.SZ,20070702,20080630
000636.SZ,20100104,20600101
600817.SH,20070115,20080630
000554.SZ,20070115,20130628
002240.SZ,20141215,20151211
002129.SZ,20080102,20131213
002012.SZ,20070115,20070629
002179.SZ,20100104,20181214
002410.SZ,20110104,20140613
600657.SH,20110701,20600101
600057.SH,20070115,20080630
603866.SH,20161212,20171208
000886.SZ,20070702,20150612
600277.SH,20110104,20121231
600970.SH,20080701,20081231
600056.SH,20070115,20600101
002123.SZ,20161212,20180608
002075.SZ,20120104,20121231
600282.SH,20110104,20111230
600226.SH,20070115,20130628
600215.SH,20070115,20091231
002340.SZ,20100701,20600101
600653.SH,20100104,20121231
600439.SH,20070115,20150612
300136.SZ,20161212,20171208
002293.SZ,20120702,20161209
600578.SH,20120702,20131213
000050.SZ,20191216,20600101
000402.SZ,20191216,20600101
000553.SZ,20191216,20600101
000825.SZ,20191216,20600101
000967.SZ,20191216,20600101
001872.SZ,20191216,20600101
002013.SZ,20191216,20600101
002065.SZ,20191216,20200612
002180.SZ,20191216,20200612
002203.SZ,20191216,20600101
002423.SZ,20191216,20600101
002625.SZ,20191216,20600101
002653.SZ,20191216,20600101
002867.SZ,20191216,20600101
002925.SZ,20191216,20600101
002957.SZ,20191216,20600101
300012.SZ,20191216,20600101
300014.SZ,20191216,20200612
300072.SZ,20191216,20600101
300180.SZ,20191216,20600101
300251.SZ,20191216,20201211
300285.SZ,20191216,20600101
300296.SZ,20191216,20600101
300529.SZ,20191216,20200612
600132.SH,20191216,20600101
600150.SH,20191216,20200612
600256.SH,20191216,20600101
600273.SH,20191216,20600101
600339.SH,20191216,20600101
600415.SH,20191216,20600101
600446.SH,20191216,20600101
600704.SH,20191216,20600101
600728.SH,20191216,20600101
600776.SH,20191216,20600101
601099.SH,20191216,20600101
601228.SH,20191216,20600101
601233.SH,20191216,20600101
601598.SH,20191216,20600101
601799.SH,20191216,20600101
601860.SH,20191216,20600101
601865.SH,20191216,20600101
601975.SH,20191216,20600101
603256.SH,20191216,20600101
603317.SH,20191216,20600101
603338.SH,20191216,20600101
603379.SH,20191216,20600101
603707.SH,20191216,20201211
603858.SH,20191216,20600101
603882.SH,20191216,20600101
603983.SH,20191216,20600101
601010.SH,20120104,20170609
600107.SH,20090105,20121231
000522.SZ,20070115,20130425
600183.SH,20130104,20191213
002461.SZ,20120104,20161209
600500.SH,20150615,20600101
000573.SZ,20070115,20101231
000418.SZ,20120320,20190614
600893.SH,20070115,20071228
600819.SH,20120301,20121231
600677.SH,20070115,20100630
002572.SZ,20131216,20141212
600026.SH,20130701,20600101
002407.SZ,20161212,20201211
600240.SH,20070115,20190614
601718.SH,20131216,20151211
600469.SH,20070115,20140613
002362.SZ,20110701,20121231
000688.SZ,20131216,20151211
600074.SH,20070115,20101231
600235.SH,20070115,20080630
600199.SH,20110701,20130628
000848.SZ,20110701,20201211
000905.SZ,20070115,20120629
600862.SH,20161212,20600101
002503.SZ,20130701,20600101
000032.SZ,20070115,20091231
600551.SH,20120702,20171208
000540.SZ,20090701,20151211
000828.SZ,20130104,20131213
600321.SH,20070115,20081231
000720.SZ,20070115,20081231
600317.SH,20141215,20150612
000793.SZ,20120104,20131213
000600.SZ,20090105,20110630
000959.SZ,20161212,20170609
601139.SH,20150615,20160608
300072.SZ,20150615,20161209
002672.SZ,20130104,20200612
601208.SH,20120104,20151211
600079.SH,20070115,20130628
600894.SH,20070702,20111230
600630.SH,20070115,20110630
600595.SH,20130701,20140613
002267.SZ,20100701,20161209
601012.SH,20140616,20171208
002498.SZ,20151214,20170609
000860.SZ,20070115,20191213
600189.SH,20070115,20100630
000570.SZ,20070115,20090630
600291.SH,20161212,20600101
000826.SZ,20070115,20130628
600330.SH,20070115,20131213
002143.SZ,20150615,20160608
002097.SZ,20090701,20130628
600596.SH,20110701,20171208
002572.SZ,20160613,20171208
002419.SZ,20130701,20160608
600280.SH,20070115,20070629
000507.SZ,20070702,20100630
600120.SH,20070115,20111230
600648.SH,20110701,20120629
300182.SZ,20151214,20161209
600825.SH,20110104,20170609
002011.SZ,20090701,20181214
000755.SZ,20070115,20071228
000938.SZ,20070115,20101231
002080.SZ,20070702,20080630
600782.SH,20110104,20121231
300159.SZ,20161212,20200612
000524.SZ,20070115,20081231
600162.SH,20070115,20150612
600536.SH,20140616,20200612
600308.SH,20100104,20140613
600410.SH,20080102,20600101
000511.SZ,20070115,20160608
000850.SZ,20080701,20151211
601231.SH,20161212,20180608
000661.SZ,20130104,20131213
600062.SH,20141215,20600101
002439.SZ,20151214,20201211
002681.SZ,20150615,20200612
002551.SZ,20140616,20180608
002698.SZ,20130701,20170609
600537.SH,20120702,20171208
000901.SZ,20070115,20071228
000566.SZ,20130104,20181214
600818.SH,20100104,20110630
600258.SH,20070115,20130628
002262.SZ,20130701,20141212
600212.SH,20070115,20071228
002642.SZ,20150615,20190614
600854.SH,20070115,20070629
002493.SZ,20151214,20160608
600488.SH,20070115,20151211
600059.SH,20070115,20180608
601616.SH,20120702,20141212
600253.SH,20070115,20090630
002194.SZ,20100701,20171208
000062.SZ,20141215,20600101
601168.SH,20151214,20600101
600202.SH,20070115,20120629
601226.SH,20150615,20161209
600395.SH,20070115,20090630
002665.SZ,20141215,20201211
000751.SZ,20110104,20120629
600880.SH,20150615,20180608
600694.SH,20140616,20201211
000786.SZ,20080701,20180608
002093.SZ,20080102,20091231
600757.SH,20130104,20201211
601100.SH,20120702,20141212
000428.SZ,20070115,20121231
600602.SH,20100701,20121231
600801.SH,20070115,20070629
600446.SH,20150615,20151211
600312.SH,20080102,20091231
600295.SH,20070702,20090630
600814.SH,20070115,20091231
000921.SZ,20131216,20160608
600702.SH,20070115,20151211
000576.SZ,20070115,20090630
002465.SZ,20110701,20140613
300168.SZ,20141215,20150612
000852.SZ,20080701,20160608
002001.SZ,20070115,20081231
600780.SH,20090701,20160608
002601.SZ,20120104,20141212
002195.SZ,20150615,20151211
002032.SZ,20140616,20141212
000812.SZ,20070115,20071228
600503.SH,20151214,20190614
603369.SH,20141215,20160608
002336.SZ,20110104,20120629
600628.SH,20090105,20180608
600973.SH,20070115,20101231
600152.SH,20070115,20081231
600821.SH,20070115,20091231
002039.SZ,20070115,20070629
002223.SZ,20100104,20100630
600645.SH,20130104,20600101
600481.SH,20120702,20181214
600540.SH,20070115,20100630
600008.SH,20120702,20131213
000762.SZ,20070115,20181214
600120.SH,20131216,20600101
600166.SH,20090105,20091231
600787.SH,20090105,20600101
600566.SH,20140616,20141212
000758.SZ,20141215,20600101
000848.SZ,20070115,20080630
002062.SZ,20090701,20120629
600987.SH,20070115,20101231
002004.SZ,20130104,20600101
601872.SH,20141215,20150612
600094.SH,20151214,20600101
000028.SZ,20070115,20600101
002098.SZ,20070702,20081231
000301.SZ,20100701,20130628
000037.SZ,20070115,20070629
600650.SH,20070702,20111230
002328.SZ,20100701,20111230
600894.SH,20131216,20180608
600495.SH,20070115,20081231
002056.SZ,20070702,20600101
600667.SH,20070115,20120629
601929.SH,20151214,20171208
000555.SZ,20141215,20150612
002267.SZ,20090701,20091231
600466.SH,20160613,20600101
002506.SZ,20110701,20130628
600604.SH,20070115,20080630
002053.SZ,20070115,20100630
000592.SZ,20150615,20181214
002073.SZ,20080701,20110630
600446.SH,20070115,20080630
002002.SZ,20160613,20600101
000581.SZ,20090105,20111230
002371.SZ,20131216,20200612
000687.SZ,20090105,20120629
002216.SZ,20090701,20100630
002375.SZ,20110104,20110630
600640.SH,20131216,20600101
000594.SZ,20070115,20120629
600436.SH,20150615,20170609
002251.SZ,20090105,20110630
002114.SZ,20080102,20081231
002055.SZ,20070115,20070629
600391.SH,20070115,20101231
300010.SZ,20160613,20600101
002400.SZ,20131216,20140613
600566.SH,20150615,20160608
000089.SZ,20110104,20120629
002174.SZ,20141215,20160608
002416.SZ,20131216,20140613
000701.SZ,20070115,20081231
600160.SH,20080102,20111230
600141.SH,20090105,20600101
000918.SZ,20120702,20131213
603698.SH,20150615,20171208
002182.SZ,20080701,20100630
600033.SH,20110701,20121231
000559.SZ,20100701,20101231
600422.SH,20070115,20091231
601636.SH,20120702,20141212
000400.SZ,20160613,20600101
600317.SH,20070115,20111230
603806.SH,20151214,20600101
002146.SZ,20090701,20091231
002281.SZ,20100701,20600101
600380.SH,20120702,20600101
600392.SH,20070115,20080630
600311.SH,20110104,20141212
300244.SZ,20150615,20600101
600665.SH,20070115,20110630
002493.SZ,20131216,20140613
600105.SH,20070115,20090630
600129.SH,20070115,20120629
000767.SZ,20100701,20120629
002028.SZ,20070115,20070629
601005.SH,20100104,20101231
002131.SZ,20160613,20161209
002051.SZ,20151214,20600101
600861.SH,20070115,20101231
002653.SZ,20120702,20130628
000828.SZ,20090105,20110630
600841.SH,20130701,20140613
000965.SZ,20100104,20101231
002022.SZ,20100104,20181214
002342.SZ,20110701,20181214
603369.SH,20161212,20191213
000737.SZ,20070115,20101231
600263.SH,20070115,20120229
002155.SZ,20140616,20600101
002023.SZ,20070115,20080630
600629.SH,20090701,20091231
600696.SH,20070115,20081231
002437.SZ,20110104,20200612
600517.SH,20070115,20081231
002030.SZ,20070115,20080630
600108.SH,20151214,20181214
000089.SZ,20161212,20600101
000158.SZ,20160613,20600101
002699.SZ,20160613,20191213
600239.SH,20080701,20091231
000065.SZ,20070115,20070629
601155.SH,20160613,20161209
600746.SH,20070115,20091231
002135.SZ,20080102,20080630
000979.SZ,20110701,20181214
002204.SZ,20140616,20160608
600200.SH,20120702,20171208
002085.SZ,20070702,20081231
002187.SZ,20080701,20091231
000652.SZ,20120104,20180608
000548.SZ,20070115,20110630
002073.SZ,20070702,20071228
600486.SH,20090701,20091231
600824.SH,20070115,20130628
601016.SH,20161212,20600101
002354.SZ,20151214,20190614
002183.SZ,20080701,20151211
600597.SH,20110701,20130628
300296.SZ,20161212,20171208
000702.SZ,20070115,20080630
002095.SZ,20070702,20080630
002326.SZ,20100701,20131213
600069.SH,20070115,20140613
600251.SH,20070115,20081231
002635.SZ,20130701,20600101
600438.SH,20070115,20070629
600808.SH,20150615,20600101
603377.SH,20161212,20600101
000761.SZ,20161212,20200612
000975.SZ,20070115,20600101
600617.SH,20150615,20161209
600352.SH,20070115,20081231
600409.SH,20070115,20081231
000657.SZ,20070115,20071228
002294.SZ,20120702,20130628
002345.SZ,20100701,20190614
600825.SH,20070702,20071228
600438.SH,20100104,20150612
600168.SH,20070115,20120629
601515.SH,20130104,20161209
600475.SH,20070115,20130628
600879.SH,20120702,20600101
300115.SZ,20141215,20600101
600491.SH,20070115,20141212
600335.SH,20130701,20201211
600723.SH,20070115,20141212
600409.SH,20090701,20600101
600557.SH,20070115,20201211
002651.SZ,20120702,20130628
600180.SH,20070115,20071228
002212.SZ,20100104,20101231
600039.SH,20070115,20100630
000530.SZ,20070115,20081231
600498.SH,20080102,20101231
000683.SZ,20070115,20140613
600201.SH,20070115,20100630
002091.SZ,20100104,20151211
000682.SZ,20080701,20130628
601008.SH,20080102,20090630
600037.SH,20130701,20151211
600251.SH,20110104,20171208
000551.SZ,20070115,20081231
603766.SH,20130701,20201211
600176.SH,20070115,20080630
002121.SZ,20100212,20131213
601566.SH,20131216,20150612
002271.SZ,20131216,20180608
600102.SH,20110701,20120227
603899.SH,20150615,20160608
002588.SZ,20131216,20190614
600858.SH,20070115,20070629
600372.SH,20070115,20071228
000596.SZ,20110701,20111230
001696.SZ,20070115,20181214
600535.SH,20090105,20091231
600595.SH,20070115,20071228
300273.SZ,20141215,20181214
002021.SZ,20070115,20080630
600366.SH,20070115,20190614
000969.SZ,20131216,20190614
603328.SH,20141215,20600101
002061.SZ,20070702,20080630
300266.SZ,20161212,20191213
600859.SH,20140616,20600101
600643.SH,20110104,20600101
600789.SH,20070115,20121231
000717.SZ,20110104,20121231
000926.SZ,20070115,20191213
600978.SH,20070115,20070629
603883.SH,20151214,20600101
600298.SH,20080102,20201211
002250.SZ,20110701,20600101
600805.SH,20070115,20171208
600328.SH,20070115,20130628
603000.SH,20130104,20131213
600281.SH,20070115,20110630
000669.SZ,20131216,20180608
600338.SH,20161212,20600101
600511.SH,20070115,20090630
600300.SH,20070115,20091231
002266.SZ,20131216,20600101
600510.SH,20070115,20161209
000049.SZ,20131216,20190614
002299.SZ,20141215,20161209
601339.SH,20130104,20141212
600575.SH,20110701,20121231
600291.SH,20080102,20120629
000727.SZ,20160613,20200612
600249.SH,20070115,20101231
600744.SH,20070702,20110630
603699.SH,20150615,20161209
600637.SH,20070702,20080630
000599.SZ,20070115,20110630
600521.SH,20080102,20181214
600373.SH,20120104,20140613
300122.SZ,20161212,20171208
000890.SZ,20070115,20090630
002123.SZ,20090701,20150612
601005.SH,20150615,20161209
002050.SZ,20070115,20070629
002085.SZ,20151214,20161209
600661.SH,20070115,20080630
000006.SZ,20070115,20200612
600624.SH,20070115,20101231
000401.SZ,20150615,20600101
000572.SZ,20070115,20071228
600361.SH,20080701,20120629
000997.SZ,20080102,20600101
002236.SZ,20110701,20120629
002414.SZ,20110104,20201211
600971.SH,20070115,20110630
600525.SH,20070115,20071228
600662.SH,20080701,20130628
000968.SZ,20070115,20081231
002242.SZ,20110701,20130628
000413.SZ,20131216,20140613
000547.SZ,20150615,20600101
600376.SH,20181217,20600101
002311.SZ,20120702,20121231
000959.SZ,20120702,20131213
600764.SH,20210315,20600101
600956.SH,20210315,20600101
002386.SZ,20110104,20130628
600724.SH,20130701,20141212
000504.SZ,20070115,20091231
002505.SZ,20151214,20600101
600850.SH,20130701,20170609
000903.SZ,20070115,20131213
600594.SH,20070115,20140613
000666.SZ,20070115,20091231
000042.SZ,20070115,20140613
000707.SZ,20090105,20110630
600378.SH,20070115,20071228
300287.SZ,20160613,20191213
002028.SZ,20080701,20090630
000933.SZ,20140616,20160608
002154.SZ,20090701,20091231
000983.SZ,20160613,20161209
002277.SZ,20100104,20190614
600652.SH,20070115,20101231
002118.SZ,20130104,20201211
000811.SZ,20070115,20090630
000919.SZ,20070115,20170609
600121.SH,20070702,20140613
002258.SZ,20100104,20110630
000732.SZ,20120104,20160608
002005.SZ,20120104,20180608
002031.SZ,20070115,20090630
600236.SH,20151214,20161209
600157.SH,20120104,20121231
600337.SH,20070115,20071228
600425.SH,20090701,20170609
600180.SH,20130701,20170609
002152.SZ,20120702,20141212
600106.SH,20070115,20140613
600573.SH,20070115,20090630
000697.SZ,20130104,20171208
002490.SZ,20130701,20151211
000552.SZ,20131216,20191213
001914.SZ,20070115,20081231
002309.SZ,20100701,20171208
600051.SH,20070115,20101231
600436.SH,20070115,20080630
002218.SZ,20090105,20131213
600125.SH,20131216,20201211
000033.SZ,20070115,20081231
002325.SZ,20130104,20180608
300147.SZ,20141215,20180608
600710.SH,20070115,20130628
600063.SH,20070115,20140613
000738.SZ,20110701,20140613
600748.SH,20110701,20600101
600499.SH,20141215,20200612
600961.SH,20070115,20070629
000667.SZ,20070115,20071228
600161.SH,20120702,20201211
600737.SH,20120702,20151211
002358.SZ,20140616,20200612
600082.SH,20070115,20111230
000559.SZ,20130701,20141212
600332.SH,20080102,20121231
600812.SH,20130701,20161209
002069.SZ,20080701,20101231
300032.SZ,20160613,20181214
601717.SH,20140616,20600101
000582.SZ,20150615,20160608
600768.SH,20070115,20071228
002244.SZ,20140616,20600101
000520.SZ,20070702,20111230
600572.SH,20070115,20070629
002147.SZ,20090701,20091231
